rank,agent_type,runs,score_mean,score_std,score_min,score_max,shortfall_mean,storage_mean
1,ArionAgentGame,15,1.0662107976030306,0.12622396885530038,0.8571220682365378,1.2931776962919932,94.36522157852747,33.52938766353879
2,ArionAgentHybrid,14,1.047640706324879,0.19674792034188024,0.461543581831517,1.2743686541748003,66.01038435913397,38.41530862261738
3,ArionAgent,14,1.0358375309831693,0.20503163027426183,0.5975815516454616,1.3834233410033623,113.05301309689992,46.45594215715676
4,SyncRandomStdAgent,12,1.0199163416883223,0.05801987844039072,0.9453559615917023,1.134188787623907,64.37942340024811,37.17165938162173
5,ArionAgentBaseline,10,0.9799077746540169,0.22070264720906838,0.6387160158476222,1.2271174226201653,108.87618801387762,76.29728740864645
6,ArionAgentOptimize,8,0.974148648050888,0.17596618244791737,0.614313816000686,1.2661355842979722,105.64752202660301,50.27557297285034
7,ArionAgentSearch,9,0.9344729515125019,0.22596402932134216,0.4447019456348929,1.2461350834416434,165.7829230518626,61.63910808477638
8,GreedyStdAgent,15,0.7373747240400733,0.28001357845620456,0.22008135749072807,1.1690866557449624,195.16038154818295,158.20354330569398
